trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.1, 'e': 0.998954488967748}",25,7,-98.78723576979382,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
22,False,"{'a': 0.1, 'e': 0.9988525847226966}",20,0,-53.04706168622464,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
23,False,"{'a': 0.1, 'e': 0.9987459481662265}",30,0,-131.7527328436073,"{0: 14, 1: 4, 2: 11, 3: 1, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.9986345803099341}",30,0,-179.83872065574084,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.9985184822102984}",20,0,-113.81551308002254,"{0: 8, 1: 3, 2: 7, 3: 2, 4: 0}",0
26,False,"{'a': 0.1, 'e': 0.9983976549686716}",30,0,-124.82684320787972,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
27,False,"{'a': 0.1, 'e': 0.9982720997312684}",30,0,-226.6264579338079,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
28,False,"{'a': 0.1, 'e': 0.998141817689155}",25,0,-144.22471141895883,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",1
29,False,"{'a': 0.1, 'e': 0.9980068100782379}",20,3,-68.86590229615682,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
30,False,"{'a': 0.1, 'e': 0.9978670781792525}",20,0,-89.2324663672062,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.9977226233177502}",25,0,-217.34869398415245,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
32,False,"{'a': 0.1, 'e': 0.9975734468640867}",30,4,-146.70619588548325,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 2}",1
33,False,"{'a': 0.1, 'e': 0.9974195502334083}",25,0,-91.7860371713993,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
34,False,"{'a': 0.1, 'e': 0.9972609348856389}",25,0,-229.0361238282557,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
35,False,"{'a': 0.1, 'e': 0.997097602325466}",20,0,-80.1503674998006,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
36,False,"{'a': 0.1, 'e': 0.9969295541023262}",25,0,-165.87539996891675,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
37,False,"{'a': 0.1, 'e': 0.996756791810391}",20,11,-65.53559948652817,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 1}",1
38,False,"{'a': 0.1, 'e': 0.9965793170885513}",20,0,-72.72330848243783,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
39,False,"{'a': 0.1, 'e': 0.9963971316204019}",25,0,-142.7282551548753,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.9962102371342259}",25,0,-125.0952466883681,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.1, 'e': 0.9960186354029774}",20,0,-49.815853802018566,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.995822328244266}",25,0,-66.2078166712322,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.9956213175203381}",25,0,-35.96693163054403,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.1, 'e': 0.9954156051380607}",30,0,-132.56051595660202,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.9952051930489019}",25,0,-154.3141704249834,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.1, 'e': 0.9949900832489134}",25,0,-128.47955722874593,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
47,False,"{'a': 0.1, 'e': 0.9947702777787113}",25,0,-327.4594605366263,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 6}",0
48,False,"{'a': 0.1, 'e': 0.9945457787234564}",20,0,-13.255334044587542,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
